ex-idx,doc-url,doc-url-hash,model-name,output,INT,INT & AIS,Flagged,Q1,Q2,# agree (INT),# agree (AIS)
6206,http://web.archive.org/web/20150723133415id_/http://www.dailymail.co.uk/news/article-3034526/It-thing-thought-fell-Paralyzed-bride-reveals-fears-wouldn-t-able-children-poses-moving-maternity-pictures-surrogate-days-birth.html,149c9749ef3a42807f87bc9008eb2a89bbc435e3,matchsum,"rachelle and chris chapman will welcome their baby girl into the world on april 18 , thanks to an old friend who asked them to let her be their surrogate . <br> excited : rachelle can physically carry children but her blood pressure is too low . <br> the baby will be born near laurel 's home in asheville , north carolina , four hours from the chapmans <br>",1,1,0,"Yes, I understand it.","Yes, fully attributable.",3,3
9508,http://web.archive.org/web/20150724202622id_/http://www.dailymail.co.uk/news/article-3029175/Duke-Kent-leaves-hospital-walking-stick-suffering-dislocated-hip-weekend-trip-Balmoral.html,3a07c5ce6c217aee376b2a75b7ad28766740fb8a,pointer,"the duke of kent , 79 , was spotted leaving aberdeen royal infirmary with a walking stick after suffering a dislocated hip during an easter trip to the royal family 's balmoral estate . <br> the queen 's cousin , 79 , injured himself while staying at the queen 's private residence in royal deeside , aberdeenshire , on saturday . <br> buckingham palace said today that he had been ' successfully ' treated for a dislocated hip . <br> despite his age , the duke still undertakes a large number of royal engagements .",0,0,0,"No, the summary is unclear.",-,3,-1
4241,http://web.archive.org/web/20150427145432id_/http://www.dailymail.co.uk/femail/article-3053149/Plus-size-model-Laura-Wells-designs-eco-friendly-swimwear-line-using-100-cent-RECYCLED-material.html,8271acb8094873011a1550d5796d7db0ee6f2380,bigbird,"The model and environmental scientist has designed a range of eco-friendly swimwear .  <br> The collection is inspired by the ocean, with coral reef scenes featuring .  <br> The swimsuits cater for every shape, with sizes ranging from 10 through to 24 .",0,0,0,"No, the summary is unclear.",-,4,-1
1198,http://web.archive.org/web/20150405000008id_/http://www.dailymail.co.uk/sport/football/article-3024631/Mark-Hughes-demands-Stoke-City-s-barren-run-Chelsea-come-end.html,415f58a48d21bed99b9b10bc432f0966924d1a52,reference,stoke city have lost all eight trips to chelsea since premier league return . <br> mark hughes insists that their fruitless stamford bridge visits must end . <br> chelsea unbeaten in 14 premier league home games this season ( 11 wins ) . <br>,1,1,0,"Yes, I understand it.","Yes, fully attributable.",4,3
6263,http://web.archive.org/web/20150723141727id_/http://www.dailymail.co.uk/news/article-3043154/Passenger-shaming-Instagram-pictures-horrible-passengers-flights-DON-T-want-sit-to.html,7910e95ba370ca9a619eb53c8ecefc33b098c610,pointer,"one traveller has snapped a picture of himself enduring the close proximity of another passenger 's foot . <br> the images , captured by anonymous travellers , were posted on former flight attendant shawn kathleen 's instagram account passenger shaming .",0,0,0,"No, the summary is unclear.",-,3,-1
6127,http://web.archive.org/web/20150723125359id_/http://www.dailymail.co.uk/news/article-3035621/Stephanie-Scott-s-hometown-pays-tribute-bright-bubbly-intelligent-murdered-teacher-colourful-balloon-display.html,731e5f3bac5c91fe163d6d8d2899e39ea204730c,reference,hometown of stephanie scott paid tribute to the murdered teacher with a stunning hot-air balloon display . <br> more than a dozen hot air balloons hovered above the small community in canowindra . <br> hundreds gathered to mourn the tragic death of the 26-year-old after she was murdered last week . <br> friends and family gathered for a memorial picnic on saturday -- the day she would have been married . <br>,1,1,0,"Yes, I understand it.","Yes, fully attributable.",3,3
6592,http://web.archive.org/web/20150723173647id_/http://www.dailymail.co.uk/travel/travel_news/article-3036753/A-list-magnet-Coachella-summer-s-expensive-festival-costing-187-day-entry-food-drink.html,e48958ec11d31e4b266cdff63bdc40f8e8c429fd,pointer,"coachella valley music and arts festival in indio , california , are spending more than any other major festival goers . <br> the likes of alessandra ambrosio and madonna , who bizarrely made out with rapper drake on sunday , coachella visitors pay an average of £187 per day .",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
7126,http://web.archive.org/web/20150723220528id_/http://www.dailymail.co.uk/news/article-3032335/Primary-school-teacher-32-charged-string-sex-offences-against-children.html,476135c1771b664cc368bd6ec0ba70b384befaf1,reference,lloyd dennis has been charged with 28 offences against two children . <br> the 32-year-old has worked at a number of primary schools in hampshire . <br> the reel of charges includes rape and sexual activity with a child . <br>,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
8149,http://web.archive.org/web/20150724080900id_/http://www.dailymail.co.uk/femail/article-3035399/Teacher-65-set-oldest-mother-quads-13-children.html,77a688cb95a09821435f133adb1c6e26ec3274a5,reference,"annegret raunigk , 65 , from berlin , is pregnant with quadruplets . <br> pregnant following artificial insemination using donated sperm and eggs . <br> refused ` selective reduction ' abortion and will keep all four babies . <br>",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
5021,http://web.archive.org/web/20150720202720id_/http://www.dailymail.co.uk/news/article-3021624/Bikram-yoga-founder-69-breaks-silence-rape-allegations-says-women-love-wouldn-t-need-attack-sex.html,56c67b1e2aa1a2e8c89ef6419d91fabeaf0d8f89,matchsum,"the founder of bikram yoga , who has been accused of sexually assaulting multiple students , has said women love him so much he would n't need to rape them to get sex . <br> speaking out for the first time since six women filed civil lawsuits accusing him of unwanted sexual advances , 69-year-old bikram choudhury strongly denied the accusations . ' <br> choudhury , who pioneered the practice of working out in a room heated to 105f , has his name attached to 720 yoga schools in 220 countries . <br>",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
764,http://web.archive.org/web/20150607140651id_/http://www.cnn.com/2015/04/29/opinions/moskos-baltimore-police/index.html,f782aa3252b15efad651865e08f223ce67e17eac,bigbird,"LZ Granderson: Police in Baltimore were blamed both for doing too little and for doing too much .  <br> Granderson: But those who caused destruction had little, if anything, to do with Freddie Gray protests .",1,1,0,"Yes, I understand it.","Yes, fully attributable.",3,3
9019,http://web.archive.org/web/20150724160044id_/http://www.dailymail.co.uk/news/article-3037756/UK-forced-let-Putin-inspectors-watch-Nato-war-games-European-treaty-despite-heightened-tensions-Russia.html,9ab1d75e54d3f863fc1c42cbefa4f6f93ac6928a,reference,"british officers forced to accept four-day inspection from moscow experts . <br> uk and 11 other nato countries set to contribute to the naval exercise . <br> will involve 58 warships and submarines , 50 aircraft and 3,000 land forces . <br>",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
6508,http://web.archive.org/web/20150723165039id_/http://www.dailymail.co.uk/news/article-3035545/Former-officer-says-staff-arrange-brutal-bars-battles-Prison-Fight-Club-one-Britain-s-toughest-jails.html,31b802fc9797fba5f23cd7b67f832837d935cf96,reference,"former prison guard claims fights between inmates are organised by staff . <br> peter hiett , 49 , said staff would put rivals in a cell and let them battle it out . <br> said gangs also control full wings at feltham young offenders institution . <br> feltham named as the most violent prison in england and wales last year . <br>",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
3667,http://web.archive.org/web/20150425094722id_/http://www.dailymail.co.uk/sport/football/article-3054337/Hartlepool-fans-warned-Bob-Marley-fancy-dress-day-Kick-urge-supporters-not-black-Carlisle.html,f90d656b4242251922dde17eff4fd2fb7ce03815,matchsum,hartlepool fans are planning to dress up as bob marley for the final game of this season at carlisle <br> kick it out have urged carlisle to refuse entry to any fans who decide to black up for the fixture <br>,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
9874,http://web.archive.org/web/20150724235330id_/http://www.dailymail.co.uk/travel/travel_news/article-3033805/Filipino-graphic-artist-turned-barista-creates-incredibly-detailed-caricatures-coffee-froth.html,dc69e09212bb9ac1965ba53f7437c7a5f9193eb4,bigbird,"Zach Yonzon runs the Bunny Baker Cafe in Manila with his wife .  <br> Uses steamed milk and froth as the canvas upon which he creates masterpieces .  <br> Special tools include a spoon and a barbecue skewer, which he dips in dark chocolate .",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
6020,http://web.archive.org/web/20150723082931id_/http://www.dailymail.co.uk/news/article-3023214/Robert-Schuller-Crystal-Cathedral-megachurch-founder-dies.html,e650af070a5c7a76985fbecaa78c89dbdfef6312,matchsum,"in 2013 , he was diagnosed with a tumor in his esophagus that had spread to his lymph nodes and began treatment . <br> the soaring , glass-paned crystal cathedral -- the touchstone of schuller 's storied ministry -- was sold to the roman catholic diocese of orange in 2011 , and schuller lost a legal battle the following year to collect more than $ 5 million from his former ministry for claims of copyright infringement and breach of contract . <br> minister : rev. robert h. schuller died early thursday in california at the age of 88 <br>",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
1300,http://web.archive.org/web/20150407012608id_/http://www.dailymail.co.uk/sport/football/article-3027434/Chris-Ramsey-hails-QPR-belief-ahead-crucial-relegation-clash-Aston-Villa.html,5bf2d534e7673c14f67111fbb4f1fe456744740a,pointer,qpr had lost 13 of 14 league games before saturday 's 4-1 win against west brom . <br> qpr want to build on that success in tuesday 's game at villa park . <br> chris ramsey urges his players to calm down during the 4-1 win .,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
