ex-idx,doc-url,doc-url-hash,model-name,output,INT,INT & AIS,Flagged,Q1,Q2,# agree (INT),# agree (AIS)
1872:1,http://web.archive.org/web/20191225184331id_/https://en.wikipedia.org/wiki/The_Apples_In_Stereo_p2,NA,t5-base-no-evidence,the apples in stereo's jim mcintyre's favorite band?,0,0,0,"No, the response is unclear.",,4,-1
75:2,http://web.archive.org/web/20190815221226id_/https://www.allaboutbirds.org/where-did-the-domestic-turkey-come-from/_p0,NA,t5-small-no-evidence,"when settlers in europe began sending similar-looking fowl back to europe, they, out of familiarity, called them turkeys.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
776:2,http://web.archive.org/web/20190817060256id_/https://en.wikipedia.org/wiki/Andy_Irvine_(musician)_p13,NA,t5-small-pretrained,"irvine played moynihan's bouzouki on ""johnston""",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
1637:2,http://web.archive.org/web/20191130003814id_/https://en.wikipedia.org/wiki/Lisa_Marie_Presley_p14,NA,t5-base-pretrained,scientology,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
429:2,http://web.archive.org/web/20190319102849id_/https://en.wikipedia.org/wiki/My_Happiness_(Powderfinger_song)_p4,NA,t5-base-no-evidence,"the band, powderfinger went on tour for their song, my happiness?",0,0,0,"No, the response is unclear.",,4,-1
2503:2,http://web.archive.org/web/20190720183855id_/https://en.wikipedia.org/wiki/Land_Registration_Act_2002_p1,NA,t5-base-no-evidence,"hm land registry is a non-ministerial department of the government of the united kingdom, created in 1862 to register the ownership of land and property in england and wales.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
2125:2,https://wikivisually.com/wiki/Wah_Ching_p15,NA,t5-small-no-evidence,"today, however, the traditional characters remain dominant in hong kong.",1,0,0,"Yes, I understand it.","No, not fully attributable.",5,5
224:3,http://www.radioswissclassic.ch/en/music-database/orchestra/126825a7a5815329be66a3b87354ba145cbe1c/biography_p11,NA,t5-base-no-evidence,"rebel, sweetheart is the wallflowers' album, released in 2005.",1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,4
1879:2,http://web.archive.org/web/20200517103605id_/https://en.wikipedia.org/wiki/Ego_Trippin%27_p0,NA,t5-base-no-evidence,ego trippin' by snoop dogg,1,1,0,"Yes, I understand it.","Yes, fully attributable.",5,5
894:1,http://web.archive.org/web/20161228233314id_/https://en.wikipedia.org/wiki/Mala:_I_Mousiki_Tou_Anemou_p0,NA,t5-base-no-evidence,mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mala mal,0,0,0,"No, the response is unclear.",,5,-1
776:2,http://web.archive.org/web/20190817060256id_/https://en.wikipedia.org/wiki/Andy_Irvine_(musician)_p13,NA,t5-base-pretrained,why did musician andy irvine move to dublin?,0,0,0,"No, the response is unclear.",,5,-1
